 bpm : 84.27 /  time : 5.022281885147095
 bpm : 73.13 /  time : 5.0739710330963135
 bpm : 72.4 /  time : 5.123899936676025
 bpm : 73.12 /  time : 5.1732189655303955
 bpm : 72.36 /  time : 5.225239038467407
 bpm : 73.0 /  time : 5.2809059619903564
 bpm : 72.28 /  time : 5.330278158187866
 bpm : 73.06 /  time : 5.380363941192627
 bpm : 72.25 /  time : 5.435608148574829
 bpm : 72.92 /  time : 5.48647403717041
 bpm : 72.19 /  time : 5.536529064178467
 bpm : 72.9 /  time : 5.586408853530884
 bpm : 72.14 /  time : 5.638858079910278
 bpm : 72.82 /  time : 5.689949989318848
 bpm : 72.11 /  time : 5.738577842712402
 bpm : 72.84 /  time : 5.787219047546387
 bpm : 72.13 /  time : 5.835937023162842
 bpm : 72.8 /  time : 5.887659072875977
 bpm : 72.04 /  time : 5.940083980560303
 bpm : 72.72 /  time : 5.98940896987915
 bpm : 84.0 /  time : 6.038860082626343
 bpm : 72.82 /  time : 6.08850884437561
 bpm : 72.03 /  time : 6.142576217651367
 bpm : 72.66 /  time : 6.196249008178711
 bpm : 71.94 /  time : 6.245530128479004
 bpm : 72.69 /  time : 6.294785022735596
 bpm : 71.97 /  time : 6.344092845916748
 bpm : 72.62 /  time : 6.396719217300415
 bpm : 83.83 /  time : 6.449544906616211
 bpm : 72.63 /  time : 6.499739170074463
 bpm : 83.88 /  time : 6.549951076507568
 bpm : 72.64 /  time : 6.599704027175903
 bpm : 83.92 /  time : 6.648795127868652
 bpm : 72.62 /  time : 6.69858717918396
 bpm : 83.89 /  time : 6.747947931289673
 bpm : 72.65 /  time : 6.796457052230835
 bpm : 83.87 /  time : 6.848924875259399
 bpm : 72.55 /  time : 6.901252031326294
 bpm : 83.81 /  time : 6.950669050216675
 bpm : 72.59 /  time : 6.999975919723511
 bpm : 71.88 /  time : 7.049350261688232
 bpm : 72.57 /  time : 7.098854064941406
 bpm : 71.84 /  time : 7.148690938949585
 bpm : 72.56 /  time : 7.200164079666138
 bpm : 71.8 /  time : 7.252827167510986
 bpm : 72.42 /  time : 7.30704402923584
 bpm : 71.7 /  time : 7.356961965560913
 bpm : 72.44 /  time : 7.406271934509277
 bpm : 71.72 /  time : 7.4557061195373535
 bpm : 72.39 /  time : 7.509021043777466
 bpm : 71.62 /  time : 7.56214714050293
 bpm : 72.3 /  time : 7.612926006317139
 bpm : 71.57 /  time : 7.6635119915008545
 bpm : 72.24 /  time : 7.716511964797974
 bpm : 71.49 /  time : 7.768816947937012
 bpm : 72.19 /  time : 7.818977117538452
 bpm : 59.56 /  time : 7.868771076202393
 bpm : 60.12 /  time : 7.921402215957642
 bpm : 59.5 /  time : 7.973577976226807
 bpm : 60.06 /  time : 8.026623010635376
 bpm : 59.44 /  time : 8.078853130340576
 bpm : 60.0 /  time : 8.129163980484009
 bpm : 59.4 /  time : 8.179250001907349
 bpm : 59.93 /  time : 8.232210874557495
 bpm : 59.3 /  time : 8.2847580909729
 bpm : 59.9 /  time : 8.334892988204956
 bpm : 59.27 /  time : 8.387696981430054
 bpm : 59.79 /  time : 8.44167709350586
 bpm : 59.19 /  time : 8.492302179336548
 bpm : 59.78 /  time : 8.54273509979248
 bpm : 59.15 /  time : 8.59620189666748
 bpm : 59.62 /  time : 8.653116941452026
 bpm : 59.03 /  time : 8.703686952590942
 bpm : 59.61 /  time : 8.753926038742065
 bpm : 59.03 /  time : 8.803241968154907
 bpm : 59.61 /  time : 8.855859994888306
 bpm : 58.98 /  time : 8.9096839427948
 bpm : 59.51 /  time : 8.961624145507812
 bpm : 58.9 /  time : 9.013723134994507
 bpm : 59.44 /  time : 9.065705060958862
 bpm : 58.86 /  time : 9.115352153778076
 bpm : 59.44 /  time : 9.164987802505493
 bpm : 58.83 /  time : 9.217477083206177
 bpm : 59.41 /  time : 9.268997192382812
 bpm : 58.83 /  time : 9.3191499710083
 bpm : 59.4 /  time : 9.36940598487854
 bpm : 58.79 /  time : 9.421886920928955
 bpm : 59.35 /  time : 9.473931074142456
 bpm : 58.77 /  time : 9.523995161056519
 bpm : 59.35 /  time : 9.573959827423096
 bpm : 58.73 /  time : 9.626888990402222
 bpm : 59.28 /  time : 9.679529905319214
 bpm : 58.7 /  time : 9.729827165603638
 bpm : 59.27 /  time : 9.780071020126343
 bpm : 58.63 /  time : 9.835077047348022
 bpm : 59.2 /  time : 9.885746002197266
 bpm : 58.62 /  time : 9.936210870742798
 bpm : 59.19 /  time : 9.986433982849121
 bpm : 58.57 /  time : 10.039492130279541
 bpm : 59.13 /  time : 10.09156608581543
 bpm : 58.57 /  time : 10.140581130981445
 bpm : 59.17 /  time : 10.193655014038086
 bpm : 58.56 /  time : 10.246560096740723
 bpm : 59.16 /  time : 10.296011924743652
 bpm : 58.58 /  time : 10.346203804016113
 bpm : 59.2 /  time : 10.39821481704712
 bpm : 58.59 /  time : 10.450407981872559
 bpm : 59.24 /  time : 10.499955892562866
 bpm : 58.66 /  time : 10.55022406578064
 bpm : 59.21 /  time : 10.603021144866943
 bpm : 58.61 /  time : 10.6550772190094
 bpm : 59.21 /  time : 10.7052321434021
 bpm : 58.63 /  time : 10.755861043930054
 bpm : 59.17 /  time : 10.809011936187744
 bpm : 58.55 /  time : 10.862128973007202
 bpm : 59.1 /  time : 10.912516117095947
 bpm : 58.51 /  time : 10.963283061981201
 bpm : 59.09 /  time : 11.016715049743652
 bpm : 58.49 /  time : 11.069564819335938
 bpm : 59.04 /  time : 11.120270013809204
 bpm : 58.47 /  time : 11.169586896896362
 bpm : 106.33 /  time : 11.221296072006226
 bpm : 58.48 /  time : 11.27281403541565
 bpm : 106.37 /  time : 11.322275161743164
 bpm : 105.34 /  time : 11.372028827667236
 bpm : 106.3 /  time : 11.42396593093872
 bpm : 105.21 /  time : 11.476463079452515
 bpm : 106.38 /  time : 11.525865077972412
 bpm : 105.36 /  time : 11.574972867965698
 bpm : 106.34 /  time : 11.627941131591797
 bpm : 105.27 /  time : 11.679785013198853
 bpm : 106.28 /  time : 11.729928016662598
 bpm : 105.24 /  time : 11.779925107955933
 bpm : 106.2 /  time : 11.83244013786316
 bpm : 105.13 /  time : 11.884302139282227
 bpm : 106.19 /  time : 11.9339280128479
 bpm : 105.11 /  time : 11.986513137817383
 bpm : 106.13 /  time : 12.038762092590332
 bpm : 58.39 /  time : 12.088397026062012
 bpm : 58.96 /  time : 12.137541055679321
 bpm : 58.37 /  time : 12.18936800956726
 bpm : 58.91 /  time : 12.240864038467407
 bpm : 58.36 /  time : 12.289350032806396
 bpm : 58.99 /  time : 12.338338136672974
 bpm : 58.4 /  time : 12.389722108840942
 bpm : 59.01 /  time : 12.440794229507446
 bpm : 58.45 /  time : 12.48989486694336
 bpm : 59.01 /  time : 12.539475917816162
 bpm : 58.39 /  time : 12.593394041061401
 bpm : 59.02 /  time : 12.645365953445435
 bpm : 58.44 /  time : 12.695265054702759
 bpm : 59.04 /  time : 12.744690895080566
 bpm : 58.45 /  time : 12.796523094177246
 bpm : 59.03 /  time : 12.851233959197998
 bpm : 58.46 /  time : 12.900661945343018
 bpm : 59.02 /  time : 12.951574087142944
 bpm : 58.45 /  time : 13.00107216835022
 bpm : 59.05 /  time : 13.053882122039795
 bpm : 58.44 /  time : 13.10684323310852
 bpm : 59.09 /  time : 13.155999898910522
 bpm : 58.52 /  time : 13.20519495010376
 bpm : 59.11 /  time : 13.25468397140503
 bpm : 58.49 /  time : 13.308555126190186
 bpm : 59.09 /  time : 13.361865043640137
 bpm : 58.5 /  time : 13.412925004959106
 bpm : 59.1 /  time : 13.464200973510742
 bpm : 58.51 /  time : 13.515449047088623
 bpm : 59.09 /  time : 13.569247007369995
 bpm : 58.48 /  time : 13.622125148773193
 bpm : 59.09 /  time : 13.67327094078064
 bpm : 58.5 /  time : 13.724096059799194
 bpm : 59.16 /  time : 13.774456977844238
 bpm : 58.56 /  time : 13.826755046844482
 bpm : 59.09 /  time : 13.879976987838745
 bpm : 58.51 /  time : 13.930463075637817
 bpm : 82.83 /  time : 13.980295896530151
 bpm : 81.97 /  time : 14.033397912979126
 bpm : 82.8 /  time : 14.085980892181396
 bpm : 82.02 /  time : 14.134658098220825
 bpm : 82.86 /  time : 14.18416690826416
 bpm : 82.01 /  time : 14.236618995666504
 bpm : 82.82 /  time : 14.288803100585938
 bpm : 82.02 /  time : 14.338397026062012
 bpm : 82.86 /  time : 14.387677907943726
 bpm : 82.02 /  time : 14.440155982971191
 bpm : 82.81 /  time : 14.493831872940063
 bpm : 82.01 /  time : 14.542948007583618
 bpm : 82.82 /  time : 14.595099925994873
 bpm : 81.98 /  time : 14.647322177886963
 bpm : 82.84 /  time : 14.696861028671265
 bpm : 82.03 /  time : 14.746811866760254
 bpm : 82.84 /  time : 14.80006194114685
 bpm : 81.99 /  time : 14.852593898773193
 bpm : 82.87 /  time : 14.903521060943604
 bpm : 82.05 /  time : 14.954203128814697
 bpm : 82.81 /  time : 15.007950067520142
 bpm : 81.96 /  time : 15.060954093933105
 bpm : 82.65 /  time : 15.120925903320312
 bpm : 81.85 /  time : 15.170886993408203
 bpm : 82.63 /  time : 15.223416090011597
 bpm : 81.8 /  time : 15.275115966796875
 bpm : 82.71 /  time : 15.324552059173584
 bpm : 81.92 /  time : 15.37364411354065
 bpm : 82.67 /  time : 15.42640995979309
 bpm : 81.83 /  time : 15.47858715057373
 bpm : 82.71 /  time : 15.528328895568848
 bpm : 81.9 /  time : 15.57886791229248
 bpm : 82.65 /  time : 15.631882905960083
 bpm : 81.81 /  time : 15.684024095535278
 bpm : 82.7 /  time : 15.733649253845215
 bpm : 81.84 /  time : 15.787060976028442
 bpm : 82.61 /  time : 15.840198040008545
 bpm : 81.81 /  time : 15.889475107192993
 bpm : 82.72 /  time : 15.93933892250061
 bpm : 81.89 /  time : 15.991120100021362
 bpm : 82.68 /  time : 16.043211936950684
 bpm : 81.88 /  time : 16.09254503250122
 bpm : 82.8 /  time : 16.141818046569824
 bpm : 81.96 /  time : 16.193883895874023
 bpm : 82.74 /  time : 16.245870113372803
 bpm : 81.94 /  time : 16.295387983322144
 bpm : 82.81 /  time : 16.344768047332764
 bpm : 81.96 /  time : 16.397141933441162
 bpm : 82.73 /  time : 16.448890209197998
 bpm : 81.93 /  time : 16.49833917617798
 bpm : 82.82 /  time : 16.547386169433594
 bpm : 81.99 /  time : 16.599284887313843
